순번,API 통신방식,메뉴 위치,API 명,API ID,실전 TR_ID,모의 TR_ID,HTTP Method,URL 명,실전 Domain,모의 Domain
1,REST,OAuth인증,Hashkey,Hashkey,,,POST,/uapi/hashkey,https://openapi.koreainvestment.com:9443,https://openapivts.koreainvestment.com:29443
2,WEBSOCKET,OAuth인증,실시간 (웹소켓) 접속키 발급,실시간-000,,,POST,/oauth2/Approval,https://openapi.koreainvestment.com:9443,https://openapivts.koreainvestment.com:29443
3,REST,OAuth인증,접근토큰폐기(P),인증-002,,,POST,/oauth2/revokeP,https://openapi.koreainvestment.com:9443,https://openapivts.koreainvestment.com:29443
4,REST,OAuth인증,접근토큰발급(P),인증-001,,,POST,/oauth2/tokenP,https://openapi.koreainvestment.com:9443,https://openapivts.koreainvestment.com:29443
5,REST,[국내주식] 주문/계좌,기간별계좌권리현황조회,국내주식-211,CTRGA011R,모의투자 미지원,GET,/uapi/domestic-stock/v1/trading/period-rights,https://openapi.koreainvestment.com:9443,모의투자 미지원
6,REST,[국내주식] 주문/계좌,투자계좌자산현황조회,v1_국내주식-048,CTRP6548R,모의투자 미지원,GET,/uapi/domestic-stock/v1/trading/inquire-account-balance,https://openapi.koreainvestment.com:9443,모의투자 미지원
7,REST,[국내주식] 주문/계좌,퇴직연금 예수금조회,v1_국내주식-035,TTTC0506R,모의투자 미지원,GET,/uapi/domestic-stock/v1/trading/pension/inquire-deposit,https://openapi.koreainvestment.com:9443,모의투자 미지원
8,REST,[국내주식] 주문/계좌,주식예약주문정정취소,"v1_국내주식-018,019",(예약취소) CTSC0009U (예약정정) CTSC0013U,모의투자 미지원,POST,/uapi/domestic-stock/v1/trading/order-resv-rvsecncl,https://openapi.koreainvestment.com:9443,모의투자 미지원
9,REST,[국내주식] 주문/계좌,신용매수가능조회,v1_국내주식-042,TTTC8909R,모의투자 미지원,GET,/uapi/domestic-stock/v1/trading/inquire-credit-psamount,https://openapi.koreainvestment.com:9443,모의투자 미지원
10,REST,[국내주식] 주문/계좌,주식통합증거금 현황,국내주식-191,TTTC0869R,모의투자 미지원,GET,/uapi/domestic-stock/v1/trading/intgr-margin,https://openapi.koreainvestment.com:9443,모의투자 미지원
11,REST,[국내주식] 주문/계좌,퇴직연금 미체결내역,v1_국내주식-033,"TTTC2201R(기존 KRX만 가능), TTTC2210R (KRX,NXT/SOR)",모의투자 미지원,GET,/uapi/domestic-stock/v1/trading/pension/inquire-daily-ccld,https://openapi.koreainvestment.com:9443,모의투자 미지원
12,REST,[국내주식] 주문/계좌,기간별매매손익현황조회,v1_국내주식-060,TTTC8715R,모의투자 미지원,GET,/uapi/domestic-stock/v1/trading/inquire-period-trade-profit,https://openapi.koreainvestment.com:9443,모의투자 미지원
13,REST,[국내주식] 주문/계좌,주식주문(정정취소),v1_국내주식-003,TTTC0013U,VTTC0013U,POST,/uapi/domestic-stock/v1/trading/order-rvsecncl,https://openapi.koreainvestment.com:9443,https://openapivts.koreainvestment.com:29443
14,REST,[국내주식] 주문/계좌,주식예약주문조회,v1_국내주식-020,CTSC0004R,모의투자 미지원,GET,/uapi/domestic-stock/v1/trading/order-resv-ccnl,https://openapi.koreainvestment.com:9443,모의투자 미지원
15,REST,[국내주식] 주문/계좌,퇴직연금 매수가능조회,v1_국내주식-034,TTTC0503R,모의투자 미지원,GET,/uapi/domestic-stock/v1/trading/pension/inquire-psbl-order,https://openapi.koreainvestment.com:9443,모의투자 미지원
16,REST,[국내주식] 주문/계좌,주식잔고조회,v1_국내주식-006,TTTC8434R,VTTC8434R,GET,/uapi/domestic-stock/v1/trading/inquire-balance,https://openapi.koreainvestment.com:9443,https://openapivts.koreainvestment.com:29443
17,REST,[국내주식] 주문/계좌,퇴직연금 체결기준잔고,v1_국내주식-032,TTTC2202R,모의투자 미지원,GET,/uapi/domestic-stock/v1/trading/pension/inquire-present-balance,https://openapi.koreainvestment.com:9443,모의투자 미지원
18,REST,[국내주식] 주문/계좌,매수가능조회,v1_국내주식-007,TTTC8908R,VTTC8908R,GET,/uapi/domestic-stock/v1/trading/inquire-psbl-order,https://openapi.koreainvestment.com:9443,https://openapivts.koreainvestment.com:29443
19,REST,[국내주식] 주문/계좌,기간별손익일별합산조회,v1_국내주식-052,TTTC8708R,모의투자 미지원,GET,/uapi/domestic-stock/v1/trading/inquire-period-profit,https://openapi.koreainvestment.com:9443,모의투자 미지원
20,REST,[국내주식] 주문/계좌,주식주문(현금),v1_국내주식-001,(매도) TTTC0011U (매수) TTTC0012U,(매도) VTTC0011U (매수) VTTC0012U,POST,/uapi/domestic-stock/v1/trading/order-cash,https://openapi.koreainvestment.com:9443,https://openapivts.koreainvestment.com:29443
